"Municipality","Constituency","Party_No","Name","Name_hanja","Gender","Female_dm","Male_dm","Party","Date_of_birth","Age","Address","Occupation","Education","Career","Votes","Votes_share","Win_dm"
"경기도","평택시병","6","전용태","全鎔兌","남",0,1,"새로운미래","1973-11-09",50,"경기도 평택시 용죽1로","평택도시발전연구소 대표","고려대학교 정책대학원 석사과정 도시및지방행정학과 재학중","(현)평택도시발전연구소 대표(현)새로운미래 중앙당 부대변인",3968,3.75,0
"경기도","동두천시양주시연천군갑","1","정성호","鄭成湖","남",0,1,"더불어민주당","1962-06-02",61,"경기도 양주시 고암길","국회의원","서울대학교 법과대학 사법학과 졸업","(전)국회 예산결산특위 위원장(현)4선 국회의원",82186,60.26,1
"경기도","동두천시양주시연천군갑","2","안기영","安基榮","남",0,1,"국민의힘","1963-04-05",61,"경기도 양주시 옥정로5길","정당인","고려대학교 대학원 졸업(정치학석사)","(전)경기도의회 의원(전)국민의힘 양주시 당협위원장",54183,39.73,0
"경기도","동두천시양주시연천군을","1","남병근","南炳根","남",0,1,"더불어민주당","1958-04-16",65,"경기도 동두천시 이담로","석좌교수","충남대학교 대학원 졸업(법학박사)","(전)경기북부경찰청 차장(현)신한대학교 석좌교수",36540,46.29,0
"경기도","동두천시양주시연천군을","2","김성원","金成願","남",0,1,"국민의힘","1973-10-15",50,"경기도 동두천시 동광로","(현)국회의원","고려대학교 대학원 졸업(공학박사)","(현)국회의원(제20·21대)(전)여의도연구원장",42393,53.7,1
"경기도","안산시갑","1","양문석","梁文錫","남",0,1,"더불어민주당","1966-09-28",57,"경기도 안산시 상록구 반석로","방송인","성균관대학교 대학원 신문방송학과 졸업 (언론학박사)","(현) 공공미디어연구소 이사장(전) 방송통신위원회 상임위원",57050,55.62,1
"경기도","안산시갑","2","장성민","張誠珉","남",0,1,"국민의힘","1963-09-05",60,"경기도 안산시 상록구 해양4로","정당인","서강대학교 대학원 졸업(정치학 석사)","(전) 대통령비서실 미래전략기획관(전) 제16대 국회의원",45517,44.37,0
"경기도","안산시을","1","김현","金玄","여",1,0,"더불어민주당","1965-10-15",58,"경기도 안산시 상록구 화랑로","정당인","한양대학교 사학과 졸업","(전) 제19대 국회의원(비례대표)(현) 더불어민주당 당대표 언론특보",67547,56.21,1
"경기도","안산시을","2","서정현","徐正鉉","남",0,1,"국민의힘","1985-03-25",39,"경기도 안산시 단원구 광덕서로","변호사","한양대학교 법학과 졸업","(전)국민의힘 안산시단원구을 당협위원장(현)법무법인 의담 대표변호사",45645,37.98,0
"경기도","안산시을","7","홍장표","洪章杓","남",0,1,"무소속","1959-08-19",64,"경기도 안산시 상록구 화랑로","자영업","한양대학교 대학원 도시공학박사 졸업","(전) 제18대 국회의원(현) 도시공학박사",6970,5.8,0
"경기도","안산시병","1","박해철","朴海澈","남",0,1,"더불어민주당","1965-09-14",58,"경기도 안산시 단원구 선부광장로","회사원","단국대학교 부동산·건설대학원 졸업(도시계획학석사(도시개발))","(전)한국노총 LH노동조합 위원장(현)더불어민주당 대변인",59317,54.18,1
"경기도","안산시병","2","김명연","金明淵","남",0,1,"국민의힘","1964-02-28",60,"경기도 안산시 단원구 새뿔길","정당인","한양대학교 행정·자치대학원 졸업[지방자치학석사(지방·도시행정)]","(전)19대·20대 국회의원(현)사단법인 미래희망포럼 이사장",47175,43.09,0
"경기도","안산시병","7","이혜숙","李惠淑","여",1,0,"개혁신당","1964-04-26",59,"경기도 안산시 단원구 당곡1로","정치컨설팅 공론 대표","광운대학교 대학원 행정학과 졸업(행정학 박사)","(전)디지털서울문화예술대학교 외래교수(현)개혁신당 정책위원회 부의장",2982,2.72,0
"경기도","고양시갑","1","김성회","金城會","남",0,1,"더불어민주당","1972-11-20",51,"경기도 고양시 덕양구 백양로","방송인","고려대학교 지구환경과학과 졸업","(현) 더불어민주당 중앙선거대책위원회 대변인(현) 더불어민주당 헌법개정특별위원회 위원",69617,45.3,1
"경기도","고양시갑","2","한창섭","韓唱燮","남",0,1,"국민의힘","1967-11-13",56,"경기도 고양시 덕양구 화중로","정당인","영국 버밍엄대학교 졸업(행정학 박사, 2002.09.~2006.11.)","(전) 행정안전부 차관(전) 행정안전부 정부혁신조직실장",54308,35.34,0
